STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_POPES_SUB_001,Year at 30 June,AREA_POPES_SUB_001,Area,MEASURE_POPES_SUB_001,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,00100,Far North district,POP,,67900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,00200,Whangarei district,POP,,94100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,00300,Kaipara district,POP,,23700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01100,Thames-Coromandel district,POP,,30700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01200,Hauraki district,POP,,20700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01300,Waikato district,POP,,78200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01500,Matamata-Piako district,POP,,35300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01600,Hamilton city,POP,,168600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01700,Waipa district,POP,,55000,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01800,Otorohanga district,POP,,10500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,01900,South Waikato district,POP,,24800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02000,Waitomo district,POP,,9630,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02100,Taupo district,POP,,38600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02200,Western Bay of Plenty district,POP,,53000,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02300,Tauranga city,POP,,142500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02400,Rotorua district,POP,,74800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02500,Whakatane district,POP,,37100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02600,Kawerau district,POP,,7460,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02700,Opotiki district,POP,,9670,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02800,Gisborne district,POP,,49500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,02900,Wairoa district,POP,,8720,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03000,Hastings district,POP,,84700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03100,Napier city,POP,,64200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03200,Central Hawke's Bay district,POP,,14650,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03300,New Plymouth district,POP,,83300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03400,Stratford district,POP,,9710,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03500,South Taranaki district,POP,,28300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03600,Ruapehu district,POP,,12750,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03700,Whanganui district,POP,,46800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03800,Rangitikei district,POP,,15450,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,03900,Manawatu district,POP,,31100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04000,Palmerston North city,POP,,88300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04100,Tararua district,POP,,18450,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04200,Horowhenua district,POP,,34500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04300,Kapiti Coast district,POP,,55200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04400,Porirua city,POP,,58900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04500,Upper Hutt city,POP,,45400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04600,Lower Hutt city,POP,,108600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04700,Wellington city,POP,,211200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04800,Masterton district,POP,,26400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,04900,Carterton district,POP,,9510,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05000,South Wairarapa district,POP,,10900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05100,Tasman district,POP,,54000,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05200,Nelson city,POP,,52700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05300,Marlborough district,POP,,48700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05400,Kaikoura district,POP,,4060,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05500,Buller district,POP,,9850,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05600,Grey district,POP,,13750,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05700,Westland district,POP,,8830,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05800,Hurunui district,POP,,12950,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,05900,Waimakariri district,POP,,61300,
